method,PIEs,MPPs,events,wind_size,result,processed_time(ms),if_query_include_finish_rels
PieStream,4,3,1000,1000,29,42,1
PieStream,4,3,1000,1000,29,53,0
PieStream,4,3,5000,5000,1105,90,1
PieStream,4,3,5000,5000,1053,84,0
PieStream,4,3,10000,10000,5026,175,1
PieStream,4,3,10000,10000,4915,156,0
PieStream,4,3,50000,50000,118716,599,1
PieStream,4,3,50000,50000,115762,519,0
PieStream,4,3,100000,100000,500519,1632,1
PieStream,4,3,100000,100000,481677,1757,0
PieStream,4,3,500000,500000,12329840,122843,1
PieStream,4,3,500000,500000,11889461,115921,0
