(DELL_G7)method,PIEs,MPPs,events,wind_size,result,all_used_time(ms),if_query_include_finish_rels
PieStream,4,3,1000,1000,29,40,1
PieStream,4,3,1000,1000,29,37,0
PieStream,4,3,5000,5000,1105,85,1
PieStream,4,3,5000,5000,1053,86,0
PieStream,4,3,10000,10000,5026,136,1
PieStream,4,3,10000,10000,4915,128,0
PieStream,4,3,50000,50000,118716,500,1
PieStream,4,3,50000,50000,115762,485,0
PieStream,4,3,100000,100000,500519,1436,1
PieStream,4,3,100000,100000,481677,1378,0
PieStream,4,3,500000,500000,12329840,108889,1
PieStream,4,3,500000,500000,11889461,105806,0
