(MACmini)method,PIEs,MPPs,events,wind_size,rates,avg_process_latency(ns),result,all_used_time(ms)
PieStream,4,3,10000000,10000,100000000,1552,37024,8863
PieStream,4,3,10000000,10000,100000000,1436,37024,8555
PieStream,4,3,10000000,10000,100000000,1460,37024,8504
PieStream,4,3,10000000,10000,100000000,1446,37024,8507
PieStream,4,3,10000000,10000,100000000,1563,37024,8628
PieStream,4,3,10000000,10000,100000000,1469,37024,8621
PieStream,4,3,10000000,10000,100000000,1531,37024,8649
PieStream,4,3,10000000,10000,100000000,1462,37024,8353
PieStream,4,3,10000000,10000,100000000,1480,37024,8473
PieStream,4,3,10000000,10000,100000000,1634,37024,8997
PieStream,4,3,10000000,10000,10000000,1443,37024,8444
PieStream,4,3,10000000,10000,10000000,1470,37024,8526
PieStream,4,3,10000000,10000,10000000,1434,37024,8371
PieStream,4,3,10000000,10000,10000000,1509,37024,8782
PieStream,4,3,10000000,10000,10000000,1407,37024,8455
PieStream,4,3,10000000,10000,10000000,1425,37024,8504
PieStream,4,3,10000000,10000,10000000,1424,37024,8573
PieStream,4,3,10000000,10000,10000000,1481,37024,8571
PieStream,4,3,10000000,10000,10000000,1534,37024,8757
PieStream,4,3,10000000,10000,10000000,1428,37024,8439
PieStream,4,3,10000000,10000,1000000,1461,37024,10001
PieStream,4,3,10000000,10000,1000000,1476,37024,10001
PieStream,4,3,10000000,10000,1000000,1464,37024,10001
PieStream,4,3,10000000,10000,1000000,1453,37024,10001
PieStream,4,3,10000000,10000,1000000,1583,37024,10001
PieStream,4,3,10000000,10000,1000000,1430,37024,10001
PieStream,4,3,10000000,10000,1000000,1455,37024,10001
PieStream,4,3,10000000,10000,1000000,1434,37024,10000
PieStream,4,3,10000000,10000,1000000,1430,37024,10000
PieStream,4,3,10000000,10000,1000000,1460,37024,10001
PieStream,4,3,10000000,10000,100000,8710,37024,99961
PieStream,4,3,10000000,10000,100000,8747,37024,99965
PieStream,4,3,10000000,10000,100000,8115,37024,99986
PieStream,4,3,10000000,10000,100000,7678,37024,99947
PieStream,4,3,10000000,10000,100000,7824,37024,99984
PieStream,4,3,10000000,10000,100000,8157,37024,99987
PieStream,4,3,10000000,10000,100000,7905,37024,99987
PieStream,4,3,10000000,10000,100000,9171,37024,99975
PieStream,4,3,10000000,10000,100000,8219,37024,99964
PieStream,4,3,10000000,10000,100000,8265,37024,99969
PieStream,4,3,10000000,10000,10000,22249,37024,999856
PieStream,4,3,10000000,10000,10000,24209,37024,999678
PieStream,4,3,10000000,10000,10000,29283,37024,999764
PieStream,4,3,10000000,10000,10000,32921,37024,999743
PieStream,4,3,10000000,10000,10000,33818,37024,999789
PieStream,4,3,10000000,10000,10000,33829,37024,999765
PieStream,4,3,10000000,10000,10000,31505,37024,999811
PieStream,4,3,10000000,10000,10000,13399,37024,999867
PieStream,4,3,10000000,10000,10000,18486,37024,999864
PieStream,4,3,10000000,10000,10000,17697,37024,14677554
PieStream,4,3,10000000,10000,1000,45686,37024,59300549
